komentar,Label
santri santriwati,netral
tolong selidiki semoga cepet menangani cianjur pengurus yayasan pondok melecehkan santriwatisaya korban tipu kejadian pelecehan mata kepala,negatif
selkarangbisa kebenaran kali msg kebenaran melakukannya pondok satukali msh melayani ancaman ya suka guru kebenaran jago banget mmg guru perempuan pondok sekian biar loporan mmg tkh mencurigakan ulah santriwati kesakitan sungguh sgt memalukan pp inddan guru guru agama maaf mmg cuman komen ckp mengajar thn siswinya pp srg & kutipan biarpun seorg gurugus kiyaipun & kutipan cewek diajak omong tptnya mencurigakan dst kebsaya tidakakidah petugas uks mohon maaf cnn,negatif
bubarkan pesantren tersebutjadi sarang predator anak didik,negatif
ustadz pemborong lubang anak,negatif
menempatkan anaknya pesantren,positif
gila pencabulan pesantren ber ulang,negatif
pesantren ngajarin ilmu agama bener isinya tukang cabul,negatif
bubarkan pesantren sarang percabula,negatif
bikin orang tua takut masukin anak pesantren,negatif
santriitudiancam,netral
agam sumatera barat fanatik contoh jelek memalukan orang guru cabuli santri rusak hiyiiiyy,negatif
bejat oknum polisi cabuli gadis lapor pelecehan bejat guru santri paham agama waspada orang tua utk menyerahkan anak utk nuntut ilmu,negatif
jangamn masukan anak ponpes aliran pilih pesantren sesuai contoh nabi,positif
santri laki laki dinodai ustad ustad merekakasihan,netral
mit amitguru pesantren kaya gitumenakutkan,negatif
pesantren,positif
fatwa mui santri korban gurunya,netral
banget guru pesantren cabul semoga pelaku hukum mati biar guru pesantren jahat jerah,negatif
izin pondok pesantren modern salafi perketat persyaratan khusus skrg bnyak ngustadz modal jidat gosong,positif
perempuan pesantrenkanyang wajib menimba ilmu diluar laki²jadi bersuamisang ayah wajib materi ilmu ituilmu bermanfaat ilmu membawa sang penciptabukan ilmu mencari surga,positif
dimasuak anak ka pesantren lai aman kn kironyo mamasuakkn anak kakandang buayo gadang kironyo,positif
pesantren maksiat wi,negatif
bahaya banget menyekolahkan anak pesantrenustad pedofil trauma umat,negatif
tolong perhatian mentri agama kemendikbut pendiri pesantren disiplin memperkerjakan guru gurunya tks,positif
cabul cabul trus pesantren hihihi ngri potong kelaminya,negatif
negeri cabulolah ayo pemerintahgelontorkan apbn pesantren,negatif
diponpes aturan sendiribia guru disana berbuat pencabulan santrinya dihukum kebiri biar efek jera,negatif
bgmn mui halal pondok sisi agama nasib anak santri indonesia hancur menghalalkan tidur santrisetiap tahunnya orang murtad ajarannya menyesatkan membunuh anak,negatif
hahahaha santri sasaran,positif
cabut izin pendok pesantren sprti,positif
hahahhaha pondok lhoo gk bs nahan nafsu,netral
khawatir cemas wali santri memondokan anak anaknya eea pengasuh pengajar dipondok test mental kejiwaannya,positif
dimana pesantren sm gurunya cabul anak didiknya tahan uji lapor sangking keenakan,negatif
netanyahu united pesantren,positif
bubarkan ja pondok pesetren kaya itumemalukan,negatif
malu maluin bikin pesantren cuman cari cuan membuang nafsu,negatif
pesantren pesantren nama agamamendirikan pesantren tujuannya uang wanitabubarin pesantren abal abal,negatif
pesantren aman anak sekolah memalukan nagari kitojdi takut orang tua memasukan anakdankutipan k pondokseharusnyo urang tu penjara,negatif
selectiflah pengelola pondok pesantren pengajar anak didiknya fasilitasi hp alangkah baiknya sepekan hati jum & at,positif
percaya orang tuatapi kebodohan orang tuanyaingin menyekolahkan anaknya santri santrinya,negatif
lh takut kam jaman skrg pesantren laki anak cewe korban orang tua prcaya,positif
orang tua menitipkan anak perempuannya pondok pesantren anak ayam garangan sebulan makan,positif
enak pesantren,positif
sekolah pesantren,positif
pesantren,positif
pesantren pecundang namanya kasian orang tua anak nya rusak oleng gurunya,negatif
gila santri dirusak gurunya matikan disidang,negatif
rencana masukin anak pesantren takut ya,negatif
pesantren pesantren usut pencabulan dirikan pesantren maksiat parah tokoh agama,negatif
kasih tau kalo anak perempuan jgn serahkan pesantren pesantren bandot nya uda degar berita berita bentar bentar ter dengar cabul sadar buu bpk kasian sang buah hatuy nya nik maty manusia bejatitu,negatif
nya sadar buuu bpk jgn masukin anak nya pesantren manusia bejat waspada haty haty jeboskan anak nya berpikir,negatif
innalillahi wa ina ilaihi roji & un mati ajaran pendidikan agama islam pondok pesantren indonesia ulah oknum pengajar ilmu agama lemah keyakinan kalah nafsu syahwatnya azab menantimu,negatif
pesantren pesan hati terima guru guru bayar merusak nama pesantren merusak nama agama islam serahkan allah swt semoga terungkap guru merusak generasi ummat islam,negatif
cerita berulang suka suka terima terima keliru salah pondok konsep pendidikan pesantren ajaran dogma bhw wanita nurut tunduk laki at apalah kasian sayang anak putri pelaku dihukum gantung,negatif
suda banget masi pengem dirikan pondok pesantren wilayah d papualucu jngn harap psntren sprti ituasuk d indon timur,positif
